時間,日曜,月曜,火曜,水曜,木曜,金曜,土曜
00,176,146,123,220,94,106,144
01,89,91,76,105,73,75,128
02,31,87,83,92,82,90,68
03,42,79,82,77,107,114,74
04,42,61,62,86,59,71,58
05,48,50,43,42,63,86,53
06,36,55,49,53,71,65,58
07,148,144,151,176,179,104,34
08,252,231,184,271,183,61,44
09,102,86,64,112,82,86,72
10,82,68,55,67,72,123,134
11,116,96,102,123,111,143,150
12,179,157,145,167,149,140,127
13,88,79,77,73,83,159,184
14,75,90,84,71,63,160,206
15,48,57,83,65,70,118,189
16,116,129,150,150,113,149,192
17,279,258,276,289,294,108,150
18,269,242,240,245,219,163,221
19,225,186,183,191,176,213,328
20,206,202,192,237,209,227,216
21,226,256,270,221,181,217,201
22,225,228,222,181,271,221,211
23,164,184,223,127,192,203,249
